quote,author,tags,embedding_text
“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,"enemies, forgiveness, strategy","Quote: “Always forgive your enemies; nothing annoys them so much.” Author: Oscar Wilde Tags: enemies, forgiveness, strategy"
"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,life,"Quote: “To live is the rarest thing in the world. Most people exist, that is all.” Author: Oscar Wilde Tags: life"
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,"carpe-diem, education, inspirational, learning","Quote: “Live as if you were to die tomorrow. Learn as if you were to live forever.” Author: Mahatma Gandhi Tags: carpe-diem, education, inspirational, learning"
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,","darkness, drive-out, hate, inspirational, light, love, peace","Quote: “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.” Author: Martin Luther King Jr., Tags: darkness, drive-out, hate, inspirational, light, love, peace"
"“Without music, life would be a mistake.”","Friedrich Nietzsche,","inspirational, music, philosophy","Quote: “Without music, life would be a mistake.” Author: Friedrich Nietzsche, Tags: inspirational, music, philosophy"
“We accept the love we think we deserve.”,"Stephen Chbosky,","inspirational, love","Quote: “We accept the love we think we deserve.” Author: Stephen Chbosky, Tags: inspirational, love"
“I am so clever that sometimes I don't understand a single word of what I am saying.”,"Oscar Wilde,","intelligence, self-deprecation","Quote: “I am so clever that sometimes I don't understand a single word of what I am saying.” Author: Oscar Wilde, Tags: intelligence, self-deprecation"
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,"accomplishment, be-yourself, conformity, individuality","Quote: “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.” Author: Ralph Waldo Emerson Tags: accomplishment, be-yourself, conformity, individuality"
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",Rob Siltanen,"advertising, apple, change, commercial, computers, different, madness, misattributed-apple, misattributed-steve-jobs, misfits, nonconformity, progressive, rebels, status-quo, think-different, troublemakers","Quote: “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.” Author: Rob Siltanen Tags: advertising, apple, change, commercial, computers, different, madness, misattributed-apple, misattributed-steve-jobs, misfits, nonconformity, progressive, rebels, status-quo, think-different, troublemakers"
"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,"humor, insanity, life, misattributed-ben-franklin, misattributed-mark-twain, misattributed-to-einstein","Quote: “Insanity is doing the same thing, over and over again, but expecting different results.” Author: Narcotics Anonymous Tags: humor, insanity, life, misattributed-ben-franklin, misattributed-mark-twain, misattributed-to-einstein"
"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",Marilyn Monroe,misattributed-marilyn-monroe,"Quote: “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.” Author: Marilyn Monroe Tags: misattributed-marilyn-monroe"
“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”,"H. Jackson Brown Jr.,","actions, disappointed, disappointment, dream, dreams, explore, misattributed-mark-twain, sail","Quote: “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.” Author: H. Jackson Brown Jr., Tags: actions, disappointed, disappointment, dream, dreams, explore, misattributed-mark-twain, sail"
“It is better to be hated for what you are than to be loved for what you are not.”,"Andre Gide,","life, love","Quote: “It is better to be hated for what you are than to be loved for what you are not.” Author: Andre Gide, Tags: life, love"
"“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”",Bob Marley,love,"Quote: “Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.” Author: Bob Marley Tags: love"
"“All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.”","J.R.R. Tolkien,","frost, glitter, gold, lost, poetry, roots, strength, strong, wander, wither","Quote: “All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.” Author: J.R.R. Tolkien, Tags: frost, glitter, gold, lost, poetry, roots, strength, strong, wander, wither"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","J.K. Rowling,","abilities, choices","Quote: “It is our choices, Harry, that show what we truly are, far more than our abilities.” Author: J.K. Rowling, Tags: abilities, choices"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","Jane Austen,","aliteracy, books, classic, humor","Quote: “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.” Author: Jane Austen, Tags: aliteracy, books, classic, humor"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational","Quote: “Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.” Author: Marilyn Monroe Tags: be-yourself, inspirational"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles","Quote: “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.” Author: Albert Einstein Tags: inspirational, life, live, miracle, miracles"
“It does not do to dwell on dreams and forget to live.”,"J.K. Rowling,","dreams, life","Quote: “It does not do to dwell on dreams and forget to live.” Author: J.K. Rowling, Tags: dreams, life"
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"books, contentment, friends, friendship, life","Quote: “Good friends, good books, and a sleepy conscience: this is the ideal life.” Author: Mark Twain Tags: books, contentment, friends, friendship, life"
"“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”","John Green,",love,"Quote: “As he read, I fell in love the way you fall asleep: slowly, and then all at once.” Author: John Green, Tags: love"
"“We are all in the gutter, but some of us are looking at the stars.”","Oscar Wilde,","inspirational, optimism, perception, pessimism","Quote: “We are all in the gutter, but some of us are looking at the stars.” Author: Oscar Wilde, Tags: inspirational, optimism, perception, pessimism"
"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”","Neil Gaiman,","books, dragons, fairy-tales, inspirational, paraphrasing-g-k-chesterton","Quote: “Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.” Author: Neil Gaiman, Tags: books, dragons, fairy-tales, inspirational, paraphrasing-g-k-chesterton"
"“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”","Maurice Switzer,","misattributed-to-abraham-lincoln, misattributed-to-mark-twain, remaining-silent, wisdom","Quote: “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.” Author: Maurice Switzer, Tags: misattributed-to-abraham-lincoln, misattributed-to-mark-twain, remaining-silent, wisdom"
"“The fool doth think he is wise, but the wise man knows himself to be a fool.”","William Shakespeare,",wisdom,"Quote: “The fool doth think he is wise, but the wise man knows himself to be a fool.” Author: William Shakespeare, Tags: wisdom"
"“Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”",Mark Twain,"individuality, majority, minority, pause, reflect, wisdom","Quote: “Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).” Author: Mark Twain Tags: individuality, majority, minority, pause, reflect, wisdom"
“Life is what happens to us while we are making other plans.”,Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans","Quote: “Life is what happens to us while we are making other plans.” Author: Allen Saunders Tags: fate, life, misattributed-john-lennon, planning, plans"
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",Bill Keane,"hope, inspirational, misattributed-eleanor-roosevelt, past, present, widely-misattributed","Quote: “Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.” Author: Bill Keane Tags: hope, inspirational, misattributed-eleanor-roosevelt, past, present, widely-misattributed"
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased","Quote: “I have not failed. I've just found 10,000 ways that won't work.” Author: Thomas A. Edison Tags: edison, failure, inspirational, paraphrased"
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage","Quote: “It is not a lack of love, but a lack of friendship that makes unhappy marriages.” Author: Friedrich Nietzsche Tags: friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage"
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy","Quote: “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.” Author: Elie Wiesel Tags: activism, apathy, hate, indifference, inspirational, love, opposite, philosophy"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,Quote: “A woman is like a tea bag; you never know how strong it is until it's in hot water.” Author: Eleanor Roosevelt Tags: misattributed-eleanor-roosevelt
“The man who does not read has no advantage over the man who cannot read.”,Mark Twain,"aliteracy, literacy","Quote: “The man who does not read has no advantage over the man who cannot read.” Author: Mark Twain Tags: aliteracy, literacy"
“If you don't stand for something you will fall for anything.”,Gordon A. Eadie,"belief, integrity, misattributed-to-malcolm-x, misattributed-to-rosa-parks","Quote: “If you don't stand for something you will fall for anything.” Author: Gordon A. Eadie Tags: belief, integrity, misattributed-to-malcolm-x, misattributed-to-rosa-parks"
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","douglas adams,","life, navigation","Quote: “I may not have gone where I intended to go, but I think I have ended up where I needed to be.” Author: douglas adams, Tags: life, navigation"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","Pablo Neruda,","love, poetry","Quote: “I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.” Author: Pablo Neruda, Tags: love, poetry"
“I solemnly swear that I am up to no good.”,"J.K. Rowling,",mischief,"Quote: “I solemnly swear that I am up to no good.” Author: J.K. Rowling, Tags: mischief"
"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”","Groucho Marx,","animals, books, dogs, friends, humor","Quote: “Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.” Author: Groucho Marx, Tags: animals, books, dogs, friends, humor"
“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”,Albert Einstein,"1929, imagination, inspirational, viereck-interview","Quote: “I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.” Author: Albert Einstein Tags: 1929, imagination, inspirational, viereck-interview"
"“Love all, trust a few, do wrong to none.”","William Shakespeare,","do-wrong, love, trust, wrong","Quote: “Love all, trust a few, do wrong to none.” Author: William Shakespeare, Tags: do-wrong, love, trust, wrong"
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,fantasy,"Quote: “I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.” Author: Dr. Seuss Tags: fantasy"
“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”,"Neil Gaiman,",love,"Quote: “Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.” Author: Neil Gaiman, Tags: love"
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile","Quote: “A day without sunshine is like, you know, night.” Author: Steve Martin Tags: humor, obvious, simile"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","George R.R. Martin,","read, readers, reading, reading-books","Quote: “A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.” Author: George R.R. Martin, Tags: read, readers, reading, reading-books"
“Never put off till tomorrow what may be done day after tomorrow just as well.”,Mark Twain,"humor, procrastination","Quote: “Never put off till tomorrow what may be done day after tomorrow just as well.” Author: Mark Twain Tags: humor, procrastination"
“,"Kent M. Keith,","forgiveness, goodness, happiness, honesty, kindness, misattributed-to-mother-teresa, world","Quote: “ Author: Kent M. Keith, Tags: forgiveness, goodness, happiness, honesty, kindness, misattributed-to-mother-teresa, world"
“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”,"Dr. Seuss,",inspirational,"Quote: “You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...” Author: Dr. Seuss, Tags: inspirational"
“That which does not kill us makes us stronger.”,Friedrich Nietzsche,"paraphrased, strength","Quote: “That which does not kill us makes us stronger.” Author: Friedrich Nietzsche Tags: paraphrased, strength"
"“Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”",Lao Tzu,"courage, deeply-loved, love, strength, widely-misattributed","Quote: “Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.” Author: Lao Tzu Tags: courage, deeply-loved, love, strength, widely-misattributed"
“It is never too late to be what you might have been.”,George Eliot,"inspirational, source-unknown","Quote: “It is never too late to be what you might have been.” Author: George Eliot Tags: inspirational, source-unknown"
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness,Quote: “For every minute you are angry you lose sixty seconds of happiness.” Author: Ralph Waldo Emerson Tags: happiness
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”","J.K. Rowling,","albus-dumbledore, courage, friends","Quote: “It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.” Author: J.K. Rowling, Tags: albus-dumbledore, courage, friends"
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,"friends, heartbreak, inspirational, life, love, sisters","Quote: “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.” Author: Marilyn Monroe Tags: friends, heartbreak, inspirational, life, love, sisters"
“I love deadlines. I love the whooshing noise they make as they go by.”,"Douglas Adams,","deadlines, humor, humour, work, writing","Quote: “I love deadlines. I love the whooshing noise they make as they go by.” Author: Douglas Adams, Tags: deadlines, humor, humour, work, writing"
"“If you judge people, you have no time to love them.”",Mother Teresa,,"Quote: “If you judge people, you have no time to love them.” Author: Mother Teresa Tags: "
"“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”","Sarah Dessen,",love,"Quote: “There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.” Author: Sarah Dessen, Tags: love"
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"simplicity, understand","Quote: “If you can't explain it to a six year old, you don't understand it yourself.” Author: Albert Einstein Tags: simplicity, understand"
"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”",Friedrich Nietzsche,"lies, lying, trust","Quote: “I'm not upset that you lied to me, I'm upset that from now on I can't believe you.” Author: Friedrich Nietzsche Tags: lies, lying, trust"
“There is no greater agony than bearing an untold story inside you.”,"Maya Angelou,","1970, inspirational, stories, writing","Quote: “There is no greater agony than bearing an untold story inside you.” Author: Maya Angelou, Tags: 1970, inspirational, stories, writing"
“Love is that condition in which the happiness of another person is essential to your own.”,"Robert A. Heinlein,","essential, happiness, love","Quote: “Love is that condition in which the happiness of another person is essential to your own.” Author: Robert A. Heinlein, Tags: essential, happiness, love"
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"humor, religion","Quote: “Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.” Author: Garrison Keillor Tags: humor, religion"
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","Haruki Murakami,","books, thought","Quote: “If you only read the books that everyone else is reading, you can only think what everyone else is thinking.” Author: Haruki Murakami, Tags: books, thought"
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"books, library","Quote: “I have always imagined that Paradise will be a kind of library.” Author: Jorge Luis Borges Tags: books, library"
“Everything you can imagine is real.”,Pablo Picasso,"art, imagination, inspirational, life","Quote: “Everything you can imagine is real.” Author: Pablo Picasso Tags: art, imagination, inspirational, life"
"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",Robert A. Heinlein,"cats, humor, women","Quote: “Women and cats will do as they please, and men and dogs should relax and get used to the idea.” Author: Robert A. Heinlein Tags: cats, humor, women"
“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,life,Quote: “Sometimes the questions are complicated and the answers are simple.” Author: Dr. Seuss Tags: life
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectâ€”you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâ€”her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,love,"Quote: “You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectâ€”you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâ€”her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.” Author: Bob Marley Tags: love"
“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,","books, reading","Quote: “Never trust anyone who has not brought a book with them.” Author: Lemony Snicket, Tags: books, reading"
"“You love me. Real or not real?""I tell him, ""Real.”","Suzanne Collins,","katniss, love, peeta, suzanne-collins, the-hunger-games","Quote: “You love me. Real or not real?""I tell him, ""Real.” Author: Suzanne Collins, Tags: katniss, love, peeta, suzanne-collins, the-hunger-games"
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"books, inspirational, reading, tea","Quote: “You can never get a cup of tea large enough or a book long enough to suit me.” Author: C.S. Lewis Tags: books, inspirational, reading, tea"
“We read to know we're not alone.”,"William Nicholson,","misattributed-to-c-s-lewis, reading","Quote: “We read to know we're not alone.” Author: William Nicholson, Tags: misattributed-to-c-s-lewis, reading"
